2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분,,,, 한   국   인  ,,,,,,
, 인 구 ,,, 세대 , 인  구 ,,, 인 구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
하례 2리,740 ,353 ,387 ,211 ,740 ,353 ,387 ,0 ,0 ,0 
성 산 읍,17503 ,8667 ,8836 ,4833 ,17500 ,8664 ,8836 ,3 ,3 ,0 
성 산 리,2820 ,1472 ,1348 ,795 ,2817 ,1469 ,1348 ,3 ,3 ,0 
오 조 리,1087 ,514 ,573 ,297 ,1087 ,514 ,573 ,0 ,0 ,0 
시 흥 리,1346 ,654 ,692 ,356 ,1346 ,654 ,692 ,0 ,0 ,0 
고 성 리,3193 ,1597 ,1596 ,949 ,3193 ,1597 ,1596 ,0 ,0 ,0 
수산 1리,1194 ,586 ,608 ,311 ,1194 ,586 ,608 ,0 ,0 ,0 
수산 2리,289 ,150 ,139 ,68 ,289 ,150 ,139 ,0 ,0 ,0 
신 양 리,1104 ,531 ,573 ,297 ,1104 ,531 ,573 ,0 ,0 ,0 
온 평 리,1642 ,799 ,843 ,442 ,1642 ,799 ,843 ,0 ,0 ,0 
난 산 리,764 ,394 ,370 ,206 ,764 ,394 ,370 ,0 ,0 ,0 
신 산 리,1518 ,725 ,793 ,410 ,1518 ,725 ,793 ,0 ,0 ,0 
삼달 1리,566 ,271 ,295 ,154 ,566 ,271 ,295 ,0 ,0 ,0 
삼달 2리,287 ,135 ,152 ,85 ,287 ,135 ,152 ,0 ,0 ,0 
신 풍 리,771 ,391 ,380 ,217 ,771 ,391 ,380 ,0 ,0 ,0 
신 천 리,922 ,448 ,474 ,246 ,922 ,448 ,474 ,0 ,0 ,0 
안 덕 면,11596 ,5671 ,5925 ,3203 ,11596 ,5671 ,5925 ,0 ,0 ,0 
화 순 리,3083 ,1520 ,1563 ,865 ,3083 ,1520 ,1563 ,0 ,0 ,0 
사 계 리,2694 ,1312 ,1382 ,758 ,2694 ,1312 ,1382 ,0 ,0 ,0 
덕 수 리,1138 ,554 ,584 ,298 ,1138 ,554 ,584 ,0 ,0 ,0 
서광서리,585 ,286 ,299 ,161 ,585 ,286 ,299 ,0 ,0 ,0 
서광동리,458 ,216 ,242 ,127 ,458 ,216 ,242 ,0 ,0 ,0 
동 광 리,433 ,237 ,196 ,122 ,433 ,237 ,196 ,0 ,0 ,0 
광 평 리,64 ,30 ,34 ,17 ,64 ,30 ,34 ,0 ,0 ,0 
상 천 리,141 ,69 ,72 ,39 ,141 ,69 ,72 ,0 ,0 ,0 
상 창 리,338 ,165 ,173 ,91 ,338 ,165 ,173 ,0 ,0 ,0 
창 천 리,846 ,402 ,444 ,213 ,846 ,402 ,444 ,0 ,0 ,0 
대 평 리,707 ,332 ,375 ,209 ,707 ,332 ,375 ,0 ,0 ,0 
감 산 리,1109 ,548 ,561 ,303 ,1109 ,548 ,561 ,0 ,0 ,0 
표 선 면,11476 ,5663 ,5813 ,3071 ,11476 ,5663 ,5813 ,0 ,0 ,0 
표 선 리,4194 ,2070 ,2124 ,1148 ,4194 ,2070 ,2124 ,0 ,0 ,0 
하 천 리,1206 ,592 ,614 ,320 ,1206 ,592 ,614 ,0 ,0 ,0 
성읍 1리,1337 ,632 ,705 ,358 ,1337 ,632 ,705 ,0 ,0 ,0 
성읍 2리,265 ,140 ,125 ,83 ,265 ,140 ,125 ,0 ,0 ,0 
가 시 리,1431 ,725 ,706 ,367 ,1431 ,725 ,706 ,0 ,0 ,0 
세화 1리,753 ,354 ,399 ,205 ,753 ,354 ,399 ,0 ,0 ,0 
세화 2리,791 ,396 ,395 ,211 ,791 ,396 ,395 ,0 ,0 ,0 
세화 3리,223 ,113 ,110 ,58 ,223 ,113 ,110 ,0 ,0 ,0 
토산 1리,558 ,277 ,281 ,137 ,558 ,277 ,281 ,0 ,0 ,0 
토산 2리,718 ,364 ,354 ,184 ,718 ,364 ,354 ,0 ,0 ,0 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
